mean,speaker,start_second,t_center,t_end
187.02732326573908,RDL_Montalvo_Joe,0.0,1.5,3.0
186.53376612089195,RDL_Montalvo_Joe,0.04,1.54,3.04
186.849477530432,RDL_Montalvo_Joe,0.08,1.58,3.08
186.70184926079187,RDL_Montalvo_Joe,0.12,1.62,3.12
186.07642388122105,RDL_Montalvo_Joe,0.16,1.66,3.16
185.9468841555114,RDL_Montalvo_Joe,0.2,1.7,3.2
185.97093941798707,RDL_Montalvo_Joe,0.24,1.74,3.24
185.97093941798707,RDL_Montalvo_Joe,0.28,1.78,3.2800000000000002
185.97093941798707,RDL_Montalvo_Joe,0.32,1.82,3.32
188.7614365001227,RDL_Montalvo_Joe,0.36,1.8599999999999999,3.36
190.07525910344202,RDL_Montalvo_Joe,0.4,1.9,3.4
190.07525910344202,RDL_Montalvo_Joe,0.44,1.94,3.44
191.7905063173796,RDL_Montalvo_Joe,0.48,1.98,3.48
195.1081446801047,RDL_Montalvo_Joe,0.52,2.02,3.52
195.1081446801047,RDL_Montalvo_Joe,0.56,2.06,3.56
195.1081446801047,RDL_Montalvo_Joe,0.6,2.1,3.6
195.1081446801047,RDL_Montalvo_Joe,0.64,2.14,3.64
195.1081446801047,RDL_Montalvo_Joe,0.68,2.18,3.68
199.6245893427902,RDL_Montalvo_Joe,0.72,2.2199999999999998,3.7199999999999998
203.91017802288587,RDL_Montalvo_Joe,0.76,2.26,3.76
204.1374299142252,RDL_Montalvo_Joe,0.8,2.3,3.8
203.02818551791694,RDL_Montalvo_Joe,0.84,2.34,3.84
201.3048953589532,RDL_Montalvo_Joe,0.88,2.38,3.88
200.37605513284484,RDL_Montalvo_Joe,0.92,2.42,3.92
199.414696162169,RDL_Montalvo_Joe,0.96,2.46,3.96
198.27136814945777,RDL_Montalvo_Joe,1.0,2.5,4.0
201.78096736673695,RDL_Montalvo_Joe,1.04,2.54,4.04
201.78096736673695,RDL_Montalvo_Joe,1.08,2.58,4.08
201.78096736673695,RDL_Montalvo_Joe,1.12,2.62,4.12
201.78096736673695,RDL_Montalvo_Joe,1.16,2.66,4.16
206.1525809213134,RDL_Montalvo_Joe,1.2,2.7,4.2
213.40211164679994,RDL_Montalvo_Joe,1.24,2.74,4.24
220.20590868647932,RDL_Montalvo_Joe,1.28,2.7800000000000002,4.28
