mean,speaker,start_second,t_center,t_end
167.92647546433122,SAC_Rolleri_Daniel,29.16,30.66,32.16
170.7752943654847,SAC_Rolleri_Daniel,29.2,30.7,32.2
170.7752943654847,SAC_Rolleri_Daniel,29.24,30.74,32.239999999999995
170.7752943654847,SAC_Rolleri_Daniel,29.28,30.78,32.28
171.297553423986,SAC_Rolleri_Daniel,29.32,30.82,32.32
169.89679155172036,SAC_Rolleri_Daniel,29.36,30.86,32.36
173.04539217289087,SAC_Rolleri_Daniel,29.4,30.9,32.4
175.9721972384472,SAC_Rolleri_Daniel,29.44,30.94,32.44
177.03946236694622,SAC_Rolleri_Daniel,29.48,30.98,32.480000000000004
179.58879200895842,SAC_Rolleri_Daniel,29.52,31.02,32.519999999999996
178.07502603405644,SAC_Rolleri_Daniel,29.56,31.06,32.56
179.02562335973812,SAC_Rolleri_Daniel,29.6,31.1,32.6
179.58981845137228,SAC_Rolleri_Daniel,29.64,31.14,32.64
181.71990914417583,SAC_Rolleri_Daniel,29.68,31.18,32.68
181.71990914417583,SAC_Rolleri_Daniel,29.72,31.22,32.72
181.71990914417583,SAC_Rolleri_Daniel,29.76,31.26,32.760000000000005
181.71990914417583,SAC_Rolleri_Daniel,29.8,31.3,32.8
182.55267934882085,SAC_Rolleri_Daniel,29.84,31.34,32.84
186.3870477232666,SAC_Rolleri_Daniel,29.88,31.38,32.879999999999995
186.85247057009394,SAC_Rolleri_Daniel,29.92,31.42,32.92
192.1288933930988,SAC_Rolleri_Daniel,29.96,31.46,32.96
196.84672866511514,SAC_Rolleri_Daniel,30.0,31.5,33.0
188.61493621384136,SAC_Rolleri_Daniel,30.04,31.54,33.04
193.1898526753588,SAC_Rolleri_Daniel,30.08,31.58,33.08
193.1898526753588,SAC_Rolleri_Daniel,30.12,31.62,33.120000000000005
193.1898526753588,SAC_Rolleri_Daniel,30.16,31.66,33.16
193.1898526753588,SAC_Rolleri_Daniel,30.2,31.7,33.2
193.1898526753588,SAC_Rolleri_Daniel,30.24,31.74,33.239999999999995
194.40902612235104,SAC_Rolleri_Daniel,30.28,31.78,33.28
199.38290954104366,SAC_Rolleri_Daniel,30.32,31.82,33.32
203.51437467464356,SAC_Rolleri_Daniel,30.36,31.86,33.36
205.5936104747551,SAC_Rolleri_Daniel,30.4,31.9,33.4
209.07765413168696,SAC_Rolleri_Daniel,30.44,31.94,33.44
217.09884543002326,SAC_Rolleri_Daniel,30.48,31.98,33.480000000000004
222.362471492383,SAC_Rolleri_Daniel,30.52,32.019999999999996,33.519999999999996
226.46674052520783,SAC_Rolleri_Daniel,30.56,32.06,33.56
230.04223325530916,SAC_Rolleri_Daniel,30.6,32.1,33.6
218.66164994440084,SAC_Rolleri_Daniel,30.64,32.14,33.64
225.58491003660228,SAC_Rolleri_Daniel,30.68,32.18,33.68
219.7385200270455,SAC_Rolleri_Daniel,30.72,32.22,33.72
219.74517386268238,SAC_Rolleri_Daniel,30.76,32.260000000000005,33.760000000000005
221.311212152283,SAC_Rolleri_Daniel,30.8,32.3,33.8
223.19106080491244,SAC_Rolleri_Daniel,30.84,32.34,33.84
223.19106080491244,SAC_Rolleri_Daniel,30.88,32.379999999999995,33.879999999999995
221.46657001933866,SAC_Rolleri_Daniel,30.92,32.42,33.92
221.0972034300586,SAC_Rolleri_Daniel,30.96,32.46,33.96
218.99581208860675,SAC_Rolleri_Daniel,31.0,32.5,34.0
219.94343599068307,SAC_Rolleri_Daniel,31.04,32.54,34.04
225.89017115982264,SAC_Rolleri_Daniel,31.08,32.58,34.08
224.57915397041094,SAC_Rolleri_Daniel,31.12,32.620000000000005,34.120000000000005
222.25517855316963,SAC_Rolleri_Daniel,31.16,32.66,34.16
217.67300966775213,SAC_Rolleri_Daniel,31.2,32.7,34.2
215.41585203994507,SAC_Rolleri_Daniel,31.24,32.739999999999995,34.239999999999995
214.35691562010624,SAC_Rolleri_Daniel,31.28,32.78,34.28
201.05490754836714,SAC_Rolleri_Daniel,31.32,32.82,34.32
196.6336925321106,SAC_Rolleri_Daniel,31.36,32.86,34.36
189.84812928423835,SAC_Rolleri_Daniel,31.4,32.9,34.4
186.7566416163091,SAC_Rolleri_Daniel,31.44,32.94,34.44
184.03856037884236,SAC_Rolleri_Daniel,31.48,32.980000000000004,34.480000000000004
179.68910011934682,SAC_Rolleri_Daniel,31.52,33.019999999999996,34.519999999999996
165.46236521793736,SAC_Rolleri_Daniel,31.56,33.06,34.56
163.33705607412637,SAC_Rolleri_Daniel,31.6,33.1,34.6
160.810133983315,SAC_Rolleri_Daniel,31.64,33.14,34.64
160.8738598566391,SAC_Rolleri_Daniel,31.68,33.18,34.68
158.41047132314023,SAC_Rolleri_Daniel,31.72,33.22,34.72
158.87775272879085,SAC_Rolleri_Daniel,31.76,33.260000000000005,34.760000000000005
143.81532081754014,SAC_Rolleri_Daniel,31.8,33.3,34.8
142.64591508133978,SAC_Rolleri_Daniel,31.84,33.34,34.84
143.29837664523382,SAC_Rolleri_Daniel,31.88,33.379999999999995,34.879999999999995
151.2660144138418,SAC_Rolleri_Daniel,31.92,33.42,34.92
145.03767394751765,SAC_Rolleri_Daniel,31.96,33.46,34.96
143.19305940293955,SAC_Rolleri_Daniel,32.0,33.5,35.0
143.00520122750106,SAC_Rolleri_Daniel,32.04,33.54,35.04
134.2845017225438,SAC_Rolleri_Daniel,32.08,33.58,35.08
136.0403334990694,SAC_Rolleri_Daniel,32.12,33.62,35.12
139.85893922030382,SAC_Rolleri_Daniel,32.16,33.66,35.16
139.85893922030382,SAC_Rolleri_Daniel,32.2,33.7,35.2
139.10634739504525,SAC_Rolleri_Daniel,32.24,33.74,35.24
145.3538383213153,SAC_Rolleri_Daniel,32.28,33.78,35.28
133.1211915516683,SAC_Rolleri_Daniel,34.84,36.34,37.84
131.80762374924296,SAC_Rolleri_Daniel,34.88,36.38,37.88
131.13669164496676,SAC_Rolleri_Daniel,34.92,36.42,37.92
132.60100956244145,SAC_Rolleri_Daniel,34.96,36.46,37.96
147.60489786335302,SAC_Rolleri_Daniel,35.0,36.5,38.0
161.7573041951379,SAC_Rolleri_Daniel,35.04,36.54,38.04
161.7573041951379,SAC_Rolleri_Daniel,35.08,36.58,38.08
161.2416842256144,SAC_Rolleri_Daniel,35.12,36.62,38.12
159.12378917457005,SAC_Rolleri_Daniel,35.16,36.66,38.16
159.40119532254914,SAC_Rolleri_Daniel,35.2,36.7,38.2
161.17074465661386,SAC_Rolleri_Daniel,35.24,36.74,38.24
162.82048875918395,SAC_Rolleri_Daniel,35.28,36.78,38.28
160.14008916056153,SAC_Rolleri_Daniel,35.32,36.82,38.32
158.0740795023745,SAC_Rolleri_Daniel,35.36,36.86,38.36
156.06500020542964,SAC_Rolleri_Daniel,35.4,36.9,38.4
154.35406009413316,SAC_Rolleri_Daniel,35.44,36.94,38.44
152.35380411373583,SAC_Rolleri_Daniel,35.48,36.98,38.48
150.42465697672216,SAC_Rolleri_Daniel,35.52,37.02,38.52
153.47035367049992,SAC_Rolleri_Daniel,35.56,37.06,38.56
150.98097073147937,SAC_Rolleri_Daniel,35.6,37.1,38.6
150.6824701001677,SAC_Rolleri_Daniel,35.64,37.14,38.64
143.07941958527195,SAC_Rolleri_Daniel,35.68,37.18,38.68
141.166097401019,SAC_Rolleri_Daniel,35.72,37.22,38.72
141.8996015783097,SAC_Rolleri_Daniel,35.76,37.26,38.76
143.49074917699184,SAC_Rolleri_Daniel,35.8,37.3,38.8
145.6111259228889,SAC_Rolleri_Daniel,35.84,37.34,38.84
145.6111259228889,SAC_Rolleri_Daniel,35.88,37.38,38.88
145.6111259228889,SAC_Rolleri_Daniel,35.92,37.42,38.92
145.95297362175245,SAC_Rolleri_Daniel,35.96,37.46,38.96
146.63914152694966,SAC_Rolleri_Daniel,36.0,37.5,39.0
146.63914152694966,SAC_Rolleri_Daniel,36.04,37.54,39.04
