mean,speaker,start_second,t_center,t_end
215.89866657912518,SAC_Tenorio_Gina,22.62,24.12,25.62
215.19441391677162,SAC_Tenorio_Gina,22.66,24.16,25.66
214.52567772211526,SAC_Tenorio_Gina,22.7,24.2,25.7
213.75776242582,SAC_Tenorio_Gina,22.74,24.24,25.74
212.92546700260195,SAC_Tenorio_Gina,22.78,24.28,25.78
212.0713800885677,SAC_Tenorio_Gina,22.82,24.32,25.82
211.23284027258208,SAC_Tenorio_Gina,22.86,24.36,25.86
210.92796544975442,SAC_Tenorio_Gina,22.9,24.4,25.9
210.86800787430278,SAC_Tenorio_Gina,22.94,24.44,25.94
210.73009809833874,SAC_Tenorio_Gina,22.98,24.48,25.98
210.4813526405046,SAC_Tenorio_Gina,23.02,24.52,26.02
209.51910881673945,SAC_Tenorio_Gina,23.06,24.56,26.06
208.55363493145975,SAC_Tenorio_Gina,23.1,24.6,26.1
207.85858842975944,SAC_Tenorio_Gina,23.14,24.64,26.14
207.85858842975944,SAC_Tenorio_Gina,23.18,24.68,26.18
207.51027303890666,SAC_Tenorio_Gina,23.22,24.72,26.22
205.8907260022478,SAC_Tenorio_Gina,23.26,24.76,26.26
205.2098023012838,SAC_Tenorio_Gina,23.3,24.8,26.3
205.0800731659523,SAC_Tenorio_Gina,23.34,24.84,26.34
204.76032285432947,SAC_Tenorio_Gina,23.38,24.88,26.38
204.76032285432947,SAC_Tenorio_Gina,23.42,24.92,26.42
204.76032285432947,SAC_Tenorio_Gina,23.46,24.96,26.46
202.8775832633535,SAC_Tenorio_Gina,23.5,25.0,26.5
200.390630564965,SAC_Tenorio_Gina,23.54,25.04,26.54
195.6562717410508,SAC_Tenorio_Gina,23.58,25.08,26.58
195.45198546028624,SAC_Tenorio_Gina,23.62,25.12,26.62
192.3991259660812,SAC_Tenorio_Gina,23.66,25.16,26.66
189.69043867876704,SAC_Tenorio_Gina,23.7,25.2,26.7
198.17873977891003,SAC_Tenorio_Gina,23.74,25.24,26.74
197.91754009004717,SAC_Tenorio_Gina,23.78,25.28,26.78
197.71927870747834,SAC_Tenorio_Gina,23.82,25.32,26.82
197.9683454972976,SAC_Tenorio_Gina,23.86,25.36,26.86
198.14832753096343,SAC_Tenorio_Gina,23.9,25.4,26.9
198.8660516417156,SAC_Tenorio_Gina,23.94,25.44,26.94
198.34623729619008,SAC_Tenorio_Gina,23.98,25.48,26.98
198.34623729619008,SAC_Tenorio_Gina,24.02,25.52,27.02
198.34623729619008,SAC_Tenorio_Gina,24.06,25.56,27.06
197.8696629948667,SAC_Tenorio_Gina,24.1,25.6,27.1
197.58306857495188,SAC_Tenorio_Gina,24.14,25.64,27.14
197.61366063717608,SAC_Tenorio_Gina,24.18,25.68,27.18
197.25669307636673,SAC_Tenorio_Gina,24.22,25.72,27.22
196.6546490286445,SAC_Tenorio_Gina,24.26,25.76,27.26
195.64612799733237,SAC_Tenorio_Gina,24.3,25.8,27.3
192.3810951933652,SAC_Tenorio_Gina,24.34,25.84,27.34
194.34914783539776,SAC_Tenorio_Gina,24.38,25.88,27.38
194.34914783539776,SAC_Tenorio_Gina,24.42,25.92,27.42
191.7376911758839,SAC_Tenorio_Gina,24.46,25.96,27.46
193.43973350839275,SAC_Tenorio_Gina,24.5,26.0,27.5
190.84523453572731,SAC_Tenorio_Gina,24.54,26.04,27.54
188.63102754225062,SAC_Tenorio_Gina,24.58,26.08,27.58
185.60971653016193,SAC_Tenorio_Gina,24.62,26.12,27.62
183.2351870289905,SAC_Tenorio_Gina,24.66,26.16,27.66
181.24608246063843,SAC_Tenorio_Gina,24.7,26.2,27.7
179.34978816635422,SAC_Tenorio_Gina,24.74,26.24,27.74
189.29519956576104,SAC_Tenorio_Gina,24.78,26.28,27.78
188.4206894338995,SAC_Tenorio_Gina,24.82,26.32,27.82
187.90538939983915,SAC_Tenorio_Gina,24.86,26.36,27.86
187.4844757596207,SAC_Tenorio_Gina,24.9,26.4,27.9
187.13505322556418,SAC_Tenorio_Gina,24.94,26.44,27.94
186.79779808254972,SAC_Tenorio_Gina,24.98,26.48,27.98
186.41184838817045,SAC_Tenorio_Gina,25.02,26.52,28.02
185.75336462003594,SAC_Tenorio_Gina,25.06,26.56,28.06
184.90872924396467,SAC_Tenorio_Gina,25.1,26.6,28.1
183.68463393716266,SAC_Tenorio_Gina,25.14,26.64,28.14
180.53731895169255,SAC_Tenorio_Gina,25.18,26.68,28.18
177.67547251309406,SAC_Tenorio_Gina,25.22,26.72,28.22
175.44042275096058,SAC_Tenorio_Gina,25.26,26.76,28.26
175.45986661738002,SAC_Tenorio_Gina,25.3,26.8,28.3
171.3210126541705,SAC_Tenorio_Gina,25.34,26.84,28.34
171.94693684989684,SAC_Tenorio_Gina,25.38,26.88,28.38
171.3210126541705,SAC_Tenorio_Gina,25.42,26.92,28.42
171.09983750839064,SAC_Tenorio_Gina,25.46,26.96,28.46
170.62877455043204,SAC_Tenorio_Gina,25.5,27.0,28.5
170.3619096141971,SAC_Tenorio_Gina,25.54,27.04,28.54
171.94534521068627,SAC_Tenorio_Gina,25.58,27.08,28.58
171.7596083341901,SAC_Tenorio_Gina,25.62,27.12,28.62
172.95772744701137,SAC_Tenorio_Gina,25.66,27.16,28.66
173.56183475162223,SAC_Tenorio_Gina,25.7,27.2,28.7
174.16978672476924,SAC_Tenorio_Gina,25.74,27.24,28.74
174.3383546647217,SAC_Tenorio_Gina,25.78,27.28,28.78
174.33777525774596,SAC_Tenorio_Gina,25.82,27.32,28.82
174.3607984686401,SAC_Tenorio_Gina,25.86,27.36,28.86
174.3607984686401,SAC_Tenorio_Gina,25.9,27.4,28.9
174.9349522106865,SAC_Tenorio_Gina,25.94,27.44,28.94
170.6887360436959,SAC_Tenorio_Gina,25.98,27.48,28.98
175.6985939772169,SAC_Tenorio_Gina,26.02,27.52,29.02
175.7369973055035,SAC_Tenorio_Gina,26.06,27.56,29.06
175.7369973055035,SAC_Tenorio_Gina,26.1,27.6,29.1
175.7369973055035,SAC_Tenorio_Gina,26.14,27.64,29.14
174.7917848313079,SAC_Tenorio_Gina,26.18,27.68,29.18
174.55957614454348,SAC_Tenorio_Gina,26.22,27.72,29.22
174.55957614454348,SAC_Tenorio_Gina,26.26,27.76,29.26
174.6981622698641,SAC_Tenorio_Gina,26.3,27.8,29.3
173.1959552949712,SAC_Tenorio_Gina,26.34,27.84,29.34
174.29412594018083,SAC_Tenorio_Gina,26.38,27.88,29.38
174.27822487066013,SAC_Tenorio_Gina,26.42,27.92,29.42
175.18072585149258,SAC_Tenorio_Gina,26.46,27.96,29.46
175.9289644096699,SAC_Tenorio_Gina,26.5,28.0,29.5
175.6935435336777,SAC_Tenorio_Gina,26.54,28.04,29.54
177.1205574900389,SAC_Tenorio_Gina,26.58,28.08,29.58
173.01200968605187,SAC_Tenorio_Gina,26.62,28.12,29.62
170.95133461975652,SAC_Tenorio_Gina,26.66,28.16,29.66
169.00689426653645,SAC_Tenorio_Gina,26.7,28.2,29.7
165.3699482192389,SAC_Tenorio_Gina,26.74,28.24,29.74
167.69236590135822,SAC_Tenorio_Gina,26.78,28.28,29.78
167.69236590135822,SAC_Tenorio_Gina,26.82,28.32,29.82
167.69236590135822,SAC_Tenorio_Gina,26.86,28.36,29.86
167.69236590135822,SAC_Tenorio_Gina,26.9,28.4,29.9
167.69236590135822,SAC_Tenorio_Gina,26.94,28.44,29.94
167.69236590135822,SAC_Tenorio_Gina,26.98,28.48,29.98
167.69236590135822,SAC_Tenorio_Gina,27.02,28.52,30.02
167.27754390642946,SAC_Tenorio_Gina,27.06,28.56,30.06
172.8558014648774,SAC_Tenorio_Gina,27.1,28.6,30.1
173.38508239620174,SAC_Tenorio_Gina,27.14,28.64,30.14
173.23282665572106,SAC_Tenorio_Gina,27.18,28.68,30.18
173.3232333218343,SAC_Tenorio_Gina,27.22,28.72,30.22
173.31821796416068,SAC_Tenorio_Gina,27.26,28.76,30.26
173.4275959550572,SAC_Tenorio_Gina,27.3,28.8,30.3
173.89996148151718,SAC_Tenorio_Gina,27.34,28.84,30.34
174.3059424217123,SAC_Tenorio_Gina,27.38,28.88,30.38
174.3043244037951,SAC_Tenorio_Gina,27.42,28.92,30.42
174.44058522493305,SAC_Tenorio_Gina,27.46,28.96,30.46
175.9737177188758,SAC_Tenorio_Gina,27.5,29.0,30.5
176.2892223875151,SAC_Tenorio_Gina,27.54,29.04,30.54
176.08763996616452,SAC_Tenorio_Gina,27.58,29.08,30.58
175.8641492935988,SAC_Tenorio_Gina,27.62,29.12,30.62
175.831249629049,SAC_Tenorio_Gina,27.66,29.16,30.66
175.76846797415644,SAC_Tenorio_Gina,27.7,29.2,30.7
175.44418755016522,SAC_Tenorio_Gina,27.74,29.24,30.74
175.16202080825533,SAC_Tenorio_Gina,27.78,29.28,30.78
174.85929421645224,SAC_Tenorio_Gina,27.82,29.32,30.82
174.32985428520433,SAC_Tenorio_Gina,27.86,29.36,30.86
173.71092714229295,SAC_Tenorio_Gina,27.9,29.4,30.9
174.88848040631478,SAC_Tenorio_Gina,27.94,29.44,30.94
171.16874727435462,SAC_Tenorio_Gina,27.98,29.48,30.98
174.49084356148572,SAC_Tenorio_Gina,28.02,29.52,31.02
174.73266041595872,SAC_Tenorio_Gina,28.06,29.56,31.06
174.84601914882407,SAC_Tenorio_Gina,28.1,29.6,31.1
176.41454600481188,SAC_Tenorio_Gina,28.14,29.64,31.14
178.64869609871357,SAC_Tenorio_Gina,28.18,29.68,31.18
180.96920097960862,SAC_Tenorio_Gina,28.22,29.72,31.22
183.50037832675915,SAC_Tenorio_Gina,28.26,29.76,31.26
186.12691890392637,SAC_Tenorio_Gina,28.3,29.8,31.3
186.6659436279405,SAC_Tenorio_Gina,28.34,29.84,31.34
186.6659436279405,SAC_Tenorio_Gina,28.38,29.88,31.38
186.6659436279405,SAC_Tenorio_Gina,28.42,29.92,31.42
186.6659436279405,SAC_Tenorio_Gina,28.46,29.96,31.46
186.57616499948523,SAC_Tenorio_Gina,28.5,30.0,31.5
186.2843333370079,SAC_Tenorio_Gina,28.54,30.04,31.54
186.0142794852038,SAC_Tenorio_Gina,28.58,30.08,31.58
184.93134910711277,SAC_Tenorio_Gina,28.62,30.12,31.62
184.2173685497621,SAC_Tenorio_Gina,28.66,30.16,31.66
183.66101529111,SAC_Tenorio_Gina,28.7,30.2,31.7
183.48016923637329,SAC_Tenorio_Gina,28.74,30.24,31.74
183.48016923637329,SAC_Tenorio_Gina,28.78,30.28,31.78
183.48016923637329,SAC_Tenorio_Gina,28.82,30.32,31.82
182.61899538261432,SAC_Tenorio_Gina,29.02,30.52,32.019999999999996
182.61899538261432,SAC_Tenorio_Gina,29.06,30.56,32.06
182.61899538261432,SAC_Tenorio_Gina,29.1,30.6,32.1
182.61899538261432,SAC_Tenorio_Gina,29.14,30.64,32.14
182.61899538261432,SAC_Tenorio_Gina,29.18,30.68,32.18
182.61899538261432,SAC_Tenorio_Gina,29.22,30.72,32.22
182.62839095849608,SAC_Tenorio_Gina,29.26,30.76,32.260000000000005
182.71022914545807,SAC_Tenorio_Gina,29.3,30.8,32.3
182.87011159823868,SAC_Tenorio_Gina,29.34,30.84,32.34
183.1599395296625,SAC_Tenorio_Gina,29.38,30.88,32.379999999999995
183.49442151960804,SAC_Tenorio_Gina,29.42,30.92,32.42
183.83770467344442,SAC_Tenorio_Gina,29.46,30.96,32.46
185.39897127145989,SAC_Tenorio_Gina,29.5,31.0,32.5
183.83770467344442,SAC_Tenorio_Gina,29.54,31.04,32.54
186.8106480410021,SAC_Tenorio_Gina,29.58,31.08,32.58
188.7602501731258,SAC_Tenorio_Gina,29.62,31.12,32.620000000000005
191.3519254467352,SAC_Tenorio_Gina,29.66,31.16,32.66
193.64262624463964,SAC_Tenorio_Gina,29.7,31.2,32.7
